month,revenue,orders,aov,revenue_mom_pct,orders_mom_pct,aov_mom_pct
2017-01-01,111798.36,750,149.06,,,
2017-02-01,234223.4,1653,141.7,109.5,120.4,-4.9
2017-03-01,359198.85,2546,141.08,53.4,54.0,-0.4
2017-04-01,340669.68,2303,147.92,-5.2,-9.5,4.8
2017-05-01,489338.25,3546,138.0,43.6,54.0,-6.7
2017-06-01,421923.37,3135,134.58,-13.8,-11.6,-2.5
2017-07-01,481604.52,3872,124.38,14.1,23.5,-7.6
2017-08-01,554699.7,4193,132.29,15.2,8.3,6.4
2017-09-01,607399.67,4150,146.36,9.5,-1.0,10.6
2017-10-01,648247.65,4478,144.76,6.7,7.9,-1.1
2017-11-01,987765.37,7289,135.51,52.4,62.8,-6.4
2017-12-01,726033.19,5513,131.69,-26.5,-24.4,-2.8
2018-01-01,924645.0,7069,130.8,27.4,28.2,-0.7
2018-02-01,826437.13,6555,126.08,-10.6,-7.3,-3.6
2018-03-01,953356.25,7003,136.14,15.4,6.8,8.0
2018-04-01,973534.09,6798,143.21,2.1,-2.9,5.2
2018-05-01,977544.69,6749,144.84,0.4,-0.7,1.1
2018-06-01,856077.86,6099,140.36,-12.4,-9.6,-3.1
2018-07-01,867953.46,6159,140.92,1.4,1.0,0.4
