month,revenue,revenue_last_year,yoy_pct
2017-01-01,111798.36,,
2017-02-01,234223.4,,
2017-03-01,359198.85,,
2017-04-01,340669.68,,
2017-05-01,489338.25,,
2017-06-01,421923.37,,
2017-07-01,481604.52,,
2017-08-01,554699.7,,
2017-09-01,607399.67,,
2017-10-01,648247.65,,
2017-11-01,987765.37,,
2017-12-01,726033.19,,
2018-01-01,924645.0,111798.36,727.1
2018-02-01,826437.13,234223.4,252.8
2018-03-01,953356.25,359198.85,165.4
2018-04-01,973534.09,340669.68,185.8
2018-05-01,977544.69,489338.25,99.8
2018-06-01,856077.86,421923.37,102.9
2018-07-01,867953.46,481604.52,80.2
2018-08-01,838576.64,554699.7,51.2
