month,orders_all_status,delivered,in_process,canceled_unavailable,delivered_upper_bound,pct_delivered,pct_in_process,is_analysis_month
2016-09,4,1,1,2,2,25.0,25.0,False
2016-10,324,265,28,31,293,81.79,8.64,False
2016-11,0,0,0,0,0,,,False
2016-12,1,1,0,0,1,100.0,0.0,False
2017-01,800,750,37,13,787,93.75,4.62,True
2017-02,1780,1653,65,62,1718,92.87,3.65,True
2017-03,2682,2546,71,65,2617,94.93,2.65,True
2017-04,2404,2303,74,27,2377,95.8,3.08,True
2017-05,3700,3546,94,60,3640,95.84,2.54,True
2017-06,3245,3135,70,40,3205,96.61,2.16,True
2017-07,4026,3872,74,80,3946,96.17,1.84,True
2017-08,4331,4193,79,59,4272,96.81,1.82,True
2017-09,4285,4150,77,58,4227,96.85,1.8,True
2017-10,4631,4478,69,84,4547,96.7,1.49,True
2017-11,7544,7289,134,121,7423,96.62,1.78,True
2017-12,5673,5513,107,53,5620,97.18,1.89,True
2018-01,7269,7069,118,82,7187,97.25,1.62,True
2018-02,6728,6555,70,103,6625,97.43,1.04,True
2018-03,7211,7003,165,43,7168,97.12,2.29,True
2018-04,6939,6798,121,20,6919,97.97,1.74,True
2018-05,6873,6749,84,40,6833,98.2,1.22,True
2018-06,6167,6099,46,22,6145,98.9,0.75,True
2018-07,6292,6159,74,59,6233,97.89,1.18,True
2018-08,6512,6351,70,91,6421,97.53,1.07,True
2018-09,16,0,1,15,1,0.0,6.25,False
2018-10,4,0,0,4,0,0.0,0.0,False
