date,day_of_week,orders_all_status,delivered,in_process,canceled_unavailable
2018-08-01,3,311,306,2,3
2018-08-02,4,302,292,6,4
2018-08-03,5,314,308,4,2
2018-08-04,6,245,236,6,3
2018-08-05,7,276,269,5,2
2018-08-06,1,372,363,5,4
2018-08-07,2,370,353,8,9
2018-08-08,3,316,310,4,2
2018-08-09,4,289,280,3,6
2018-08-10,5,256,249,3,4
2018-08-11,6,188,185,1,2
2018-08-12,7,197,191,6,0
2018-08-13,1,292,284,3,5
2018-08-14,2,316,311,1,4
2018-08-15,3,288,282,1,5
2018-08-16,4,320,316,0,4
2018-08-17,5,257,249,5,3
2018-08-18,6,198,193,3,2
2018-08-19,7,204,204,0,0
2018-08-20,1,256,251,1,4
2018-08-21,2,243,238,1,4
2018-08-22,3,187,185,1,1
2018-08-23,4,144,142,0,2
2018-08-24,5,99,96,1,2
2018-08-25,6,69,69,0,0
2018-08-26,7,73,73,0,0
2018-08-27,1,67,66,0,1
2018-08-28,2,44,39,0,5
2018-08-29,3,14,11,0,3
2018-08-30,4,4,0,0,4
2018-08-31,5,1,0,0,1
2018-09-01,6,0,0,0,0
2018-09-02,7,0,0,0,0
2018-09-03,1,4,0,1,3
2018-09-04,2,0,0,0,0
2018-09-05,3,0,0,0,0
2018-09-06,4,3,0,0,3
2018-09-07,5,0,0,0,0
2018-09-08,6,0,0,0,0
2018-09-09,7,0,0,0,0
2018-09-10,1,1,0,0,1
2018-09-11,2,1,0,0,1
2018-09-12,3,1,0,0,1
2018-09-13,4,1,0,0,1
2018-09-14,5,0,0,0,0
2018-09-15,6,0,0,0,0
2018-09-16,7,0,0,0,0
2018-09-17,1,1,0,0,1
2018-09-18,2,0,0,0,0
2018-09-19,3,0,0,0,0
2018-09-20,4,1,0,0,1
2018-09-21,5,0,0,0,0
2018-09-22,6,0,0,0,0
2018-09-23,7,0,0,0,0
2018-09-24,1,0,0,0,0
2018-09-25,2,1,0,0,1
2018-09-26,3,1,0,0,1
2018-09-27,4,0,0,0,0
2018-09-28,5,0,0,0,0
2018-09-29,6,1,0,0,1
2018-09-30,7,0,0,0,0
