category_en,revenue,units_sold,orders,revenue_share_pct
health_beauty,1229557.5,9422,8610,9.33
watches_gifts,1163465.91,5855,5491,8.83
bed_bath_table,1022955.77,10945,9267,7.76
sports_leisure,952840.4,8414,7513,7.23
computers_accessories,888055.59,7632,6518,6.74
furniture_decor,706237.17,8095,6258,5.36
housewares,614341.62,6783,5734,4.66
cool_stuff,609158.0,3711,3552,4.62
auto,577838.39,4132,3802,4.38
garden_tools,469135.4,4263,3443,3.56
toys,467179.98,4006,3782,3.54
baby,399050.67,2971,2800,3.03
perfumery,385315.55,3311,3060,2.92
telephony,309631.94,4422,4086,2.35
office_furniture,266853.43,1662,1248,2.02
