year,category_en,revenue,share_in_year_pct,rank_in_year
2017,bed_bath_table,490596.92,8.23,1
2017,watches_gifts,475610.71,7.98,2
2017,health_beauty,473833.0,7.95,3
2017,sports_leisure,435674.14,7.31,4
2017,computers_accessories,391786.29,6.57,5
2017,cool_stuff,381414.3,6.4,6
2017,furniture_decor,324587.6,5.44,7
2017,toys,299056.71,5.02,8
2017,garden_tools,256949.2,4.31,9
2017,auto,234550.09,3.93,10
2017,housewares,222518.16,3.73,11
2017,perfumery,210943.55,3.54,12
2017,computers,156280.8,2.62,13
2017,baby,148434.88,2.49,14
2017,telephony,135508.26,2.27,15
2017,office_furniture,126275.08,2.12,16
2017,unknown,100066.8,1.68,17
2017,small_appliances,96841.18,1.62,18
2017,stationery,91472.94,1.53,19
2017,pet_shop,84156.32,1.41,20
2017,consoles_games,82886.93,1.39,21
2017,fashion_bags_accessories,79352.76,1.33,22
2017,musical_instruments,78488.46,1.32,23
2017,luggage_accessories,75088.7,1.26,24
2017,electronics,55200.34,0.93,25
2017,home_confort,37270.8,0.63,26
2017,furniture_living_room,33883.44,0.57,27
2017,agro_industry_and_commerce,29179.2,0.49,28
2017,fixed_telephony,27604.94,0.46,29
2017,air_conditioning,27269.21,0.46,30
2017,home_construction,23742.45,0.4,31
2017,home_appliances,23071.73,0.39,32
2017,home_appliances_2,21051.09,0.35,33
2017,market_place,19314.91,0.32,34
2017,construction_tools_construction,19221.88,0.32,35
2017,kitchen_dining_laundry_garden_furniture,18522.15,0.31,36
2017,books_general_interest,18446.0,0.31,37
2017,audio,17452.67,0.29,38
2017,fashion_shoes,14674.5,0.25,39
2017,art,8981.34,0.15,40
2017,costruction_tools_garden,8731.89,0.15,41
2017,industry_commerce_and_business,8656.67,0.15,42
2017,food,8346.38,0.14,43
2017,furniture_bedroom,8238.63,0.14,44
2017,fashion_male_clothing,8125.56,0.14,45
2017,construction_tools_safety,7846.9,0.13,46
2017,food_drink,7286.94,0.12,47
2017,fashion_underwear_beach,6896.85,0.12,48
2017,tablets_printing_image,6260.45,0.1,49
2017,books_technical,5762.22,0.1,50
2017,drinks,4646.65,0.08,51
2017,signaling_and_security,4248.81,0.07,52
2017,costruction_tools_tools,4087.29,0.07,53
2017,construction_tools_lights,4053.48,0.07,54
2017,dvds_blu_ray,3409.88,0.06,55
2017,christmas_supplies,2826.94,0.05,56
2017,furniture_mattress_and_upholstery,2548.28,0.04,57
