category_en,revenue_2017_same_months,revenue_2018_same_months,share_2017_pct,share_2018_pct,share_change_pp,rank_2017,rank_2018,pct_2017_revenue_in_nov_dec
health_beauty,194491.47,636333.49,7.98,9.97,2.0,2,1,29.33
watches_gifts,164966.91,618088.14,6.76,9.69,2.92,6,2,34.66
bed_bath_table,197864.19,471467.76,8.11,7.39,-0.72,1,3,28.14
sports_leisure,176099.56,466306.08,7.22,7.31,0.09,4,4,27.87
computers_accessories,180804.8,456216.66,7.41,7.15,-0.26,3,5,27.34
furniture_decor,137262.69,340481.02,5.63,5.34,-0.29,7,6,28.7
housewares,104106.7,333060.1,4.27,5.22,0.95,11,7,26.59
auto,106324.87,298255.72,4.36,4.68,0.32,10,8,31.45
baby,48838.16,229349.22,2.0,3.6,1.59,15,9,27.42
cool_stuff,168041.86,211948.81,6.89,3.32,-3.57,5,10,24.44
garden_tools,115130.22,195871.5,4.72,3.07,-1.65,8,11,27.66
toys,100774.27,151199.52,4.13,2.37,-1.76,12,12,39.35
perfumery,108868.26,149532.26,4.46,2.34,-2.12,9,13,27.52
telephony,46919.33,137550.77,1.92,2.16,0.23,16,14,28.71
office_furniture,64784.65,133819.48,2.66,2.1,-0.56,13,15,19.48
stationery,30358.05,116870.1,1.24,1.83,0.59,22,16,45.04
pet_shop,38657.5,102241.57,1.59,1.6,0.02,19,17,21.74
construction_tools_construction,1401.49,99969.45,0.06,1.57,1.51,49,18,66.72
musical_instruments,29961.86,95307.94,1.23,1.49,0.27,23,19,33.89
electronics,26119.28,88996.03,1.07,1.4,0.32,24,20,33.54
small_appliances,61725.89,79744.88,2.53,1.25,-1.28,14,21,14.79
home_appliances_2,6787.38,79370.1,0.28,1.24,0.97,33,22,32.52
unknown,43718.71,68394.89,1.79,1.07,-0.72,18,23,29.26
fashion_bags_accessories,30701.88,61464.9,1.26,0.96,-0.3,21,24,28.79
consoles_games,35643.6,57115.77,1.46,0.9,-0.57,20,25,24.92
luggage_accessories,44159.52,57013.18,1.81,0.89,-0.92,17,26,19.0
computers,5748.99,53691.84,0.24,0.84,0.61,36,27,16.96
home_construction,6596.65,51378.96,0.27,0.81,0.53,35,28,48.28
home_appliances,9645.57,49316.9,0.4,0.77,0.38,29,29,25.34
small_appliances_home_oven_and_coffee,71.9,42858.05,0.0,0.67,0.67,70,30,
agro_industry_and_commerce,4522.74,36365.81,0.19,0.57,0.38,41,31,65.88
audio,6666.64,30891.54,0.27,0.48,0.21,34,32,36.47
furniture_living_room,20067.75,28243.92,0.82,0.44,-0.38,25,33,25.17
construction_tools_lights,360.0,27690.99,0.01,0.43,0.42,62,34,58.6
industry_commerce_and_business,1399.73,27117.85,0.06,0.43,0.37,50,35,44.17
construction_tools_safety,379.0,26956.1,0.02,0.42,0.41,61,36,59.46
books_general_interest,9521.09,25291.37,0.39,0.4,0.01,30,37,27.01
kitchen_dining_laundry_garden_furniture,4393.06,24998.36,0.18,0.39,0.21,42,38,50.13
fixed_telephony,4873.86,24281.22,0.2,0.38,0.18,38,39,7.04
air_conditioning,14060.49,21148.16,0.58,0.33,-0.25,27,40,17.4
home_confort,17445.28,18496.37,0.72,0.29,-0.43,26,41,20.43
drinks,877.83,15459.93,0.04,0.24,0.21,55,42,60.41
signaling_and_security,1321.82,15240.65,0.05,0.24,0.18,52,43,32.17
art,7808.8,13194.57,0.32,0.21,-0.11,31,44,2.12
costruction_tools_garden,4299.8,12675.63,0.18,0.2,0.02,43,45,24.59
food,4745.47,12130.69,0.19,0.19,0.0,39,46,17.22
books_technical,1244.9,11456.22,0.05,0.18,0.13,53,47,24.98
costruction_tools_tools,1532.9,10560.89,0.06,0.17,0.1,47,48,15.14
furniture_bedroom,4909.13,8616.17,0.2,0.14,-0.07,37,49,12.84
fashion_shoes,7415.39,7825.67,0.3,0.12,-0.18,32,50,19.13
food_drink,704.79,6627.33,0.03,0.1,0.07,57,51,47.75
market_place,13151.54,6616.3,0.54,0.1,-0.44,28,52,10.66
cine_photo,315.0,5384.18,0.01,0.08,0.07,64,53,34.82
christmas_supplies,318.79,5381.53,0.01,0.08,0.07,63,54,63.9
music,1503.49,3978.15,0.06,0.06,0.0,48,55,
books_imported,118.99,2721.87,0.0,0.04,0.04,69,56,50.42
fashion_underwear_beach,1583.45,2249.1,0.06,0.04,-0.03,46,57,34.72
portateis_cozinha_e_preparadores_de_alimentos,,2130.03,,0.03,,,58,
fashion_male_clothing,3469.22,1920.18,0.14,0.03,-0.11,44,59,16.39
furniture_mattress_and_upholstery,814.69,1775.1,0.03,0.03,-0.01,56,60,44.65
party_supplies,69.9,1336.5,0.0,0.02,0.02,71,61,74.1
tablets_printing_image,4706.86,1267.96,0.19,0.02,-0.17,40,62,12.3
dvds_blu_ray,2882.39,1123.81,0.12,0.02,-0.1,45,63,5.86
diapers_and_hygiene,,1058.0,,0.02,,,64,100.0
flowers,,839.54,,0.01,,,65,100.0
la_cuisine,686.99,781.0,0.03,0.01,-0.02,58,66,10.75
arts_and_craftmanship,151.89,760.36,0.01,0.01,0.01,68,67,
pc_gamer,519.96,567.99,0.02,0.01,-0.01,59,68,
fashio_female_clothing,1359.0,486.69,0.06,0.01,-0.05,51,69,3.05
fashion_sport,894.92,299.6,0.04,0.0,-0.03,54,70,6.94
fashion_childrens_clothes,220.0,169.97,0.01,0.0,-0.01,66,71,
home_comfort_2,454.38,151.09,0.02,0.0,-0.02,60,72,6.35
cds_dvds_musicals,225.0,65.0,0.01,0.0,-0.01,65,73,39.1
security_and_services,183.29,,0.01,,,67,,
