customer_state,revenue,orders,customers,aov,freight_burden_pct,revenue_share_pct
SP,5055587.13,40406,39065,125.12,13.85,38.36
RJ,1751433.85,12310,11879,142.28,16.84,13.29
MG,1548206.88,11319,10969,136.78,17.16,11.75
RS,726373.92,5328,5151,136.33,18.2,5.51
PR,664048.0,4903,4750,135.44,17.34,5.04
SC,504774.07,3537,3441,142.71,17.4,3.83
BA,493339.26,3253,3155,151.66,19.76,3.74
DF,295454.64,2074,2013,142.46,16.74,2.24
GO,281932.21,1950,1889,144.58,18.17,2.14
ES,267783.66,1992,1925,134.43,18.25,2.03
PE,250639.89,1587,1545,157.93,22.66,1.9
CE,218107.7,1273,1252,171.33,21.29,1.65
PA,173382.99,942,918,184.06,21.55,1.32
MT,152143.82,885,855,171.91,19.05,1.15
MA,116305.12,713,696,163.12,26.22,0.88
MS,115429.97,701,681,164.66,16.41,0.88
PB,112536.92,516,503,218.09,22.42,0.85
PI,84511.0,475,463,177.92,24.16,0.64
RN,81376.97,470,460,173.14,22.68,0.62
AL,78805.73,396,386,199.0,19.4,0.6
SE,56288.74,332,326,169.54,24.26,0.43
TO,48402.51,274,267,176.65,23.98,0.37
RO,45682.76,243,231,187.99,24.7,0.35
AM,22155.84,145,140,152.8,24.51,0.17
AC,15930.97,80,76,199.14,22.88,0.12
AP,13374.81,67,66,199.62,20.69,0.1
RR,7017.77,40,39,175.44,27.83,0.05
