month,new_customers,returning_customers,new_revenue,returning_revenue,returning_revenue_pct
2017-01-01,717,1,111787.46,10.9,0.01
2017-02-01,1628,2,234147.28,76.12,0.03
2017-03-01,2503,5,358681.06,517.79,0.14
2017-04-01,2256,18,338637.93,2031.75,0.6
2017-05-01,3451,28,484958.53,4379.72,0.9
2017-06-01,3037,39,416935.13,4988.24,1.18
2017-07-01,3752,50,475042.39,6562.13,1.36
2017-08-01,4057,57,546021.77,8677.93,1.56
2017-09-01,4004,79,597783.07,9616.6,1.58
2017-10-01,4328,89,636772.38,11475.27,1.77
2017-11-01,7060,123,972614.06,15151.31,1.53
2017-12-01,5338,112,709843.58,16189.61,2.23
2018-01-01,6842,132,906733.35,17911.65,1.94
2018-02-01,6288,112,813053.18,13383.95,1.62
2018-03-01,6774,140,937192.39,16163.86,1.7
2018-04-01,6582,162,952665.48,20868.61,2.14
2018-05-01,6506,187,953140.05,24404.64,2.5
2018-06-01,5878,183,830699.75,25378.11,2.96
2018-07-01,5949,151,847944.56,20008.9,2.31
