category_en,units_sold,revenue,avg_item_price,rank_by_units,rank_by_revenue,freight_burden_pct
health_beauty,9422,1229557.5,130.5,2,1,14.49
watches_gifts,5855,1163465.91,198.71,7,2,8.43
bed_bath_table,10945,1022955.77,93.46,1,3,19.71
sports_leisure,8414,952840.4,113.24,3,4,17.1
computers_accessories,7632,888055.59,116.36,5,5,16.19
furniture_decor,8095,706237.17,87.24,4,6,23.67
housewares,6783,614341.62,90.57,6,7,23.2
cool_stuff,3711,609158.0,164.15,12,8,13.34
auto,4132,577838.39,139.84,10,9,15.62
garden_tools,4263,469135.4,110.05,9,10,20.58
toys,4006,467179.98,116.62,11,11,16.12
baby,2971,399050.67,134.32,14,12,16.58
perfumery,3311,385315.55,116.37,13,13,13.64
telephony,4422,309631.94,70.02,8,14,22.36
office_furniture,1662,266853.43,160.56,19,15,25.02
stationery,2466,223788.69,90.75,16,16,20.46
computers,199,218684.14,1098.92,46,17,4.42
pet_shop,1920,211005.96,109.9,18,18,18.4
musical_instruments,651,184315.74,283.13,26,19,9.7
small_appliances,658,182754.12,277.74,25,20,8.4
unknown,1535,170660.74,111.18,20,21,15.79
electronics,2728,154935.94,56.79,15,22,29.47
fashion_bags_accessories,1976,148945.19,75.38,17,23,20.42
consoles_games,1082,144384.01,133.44,21,24,13.11
construction_tools_construction,916,142108.49,155.14,23,25,14.27
luggage_accessories,1077,138701.63,128.79,22,26,21.68
home_appliances_2,231,107953.95,467.33,44,27,9.5
home_construction,596,81407.57,136.59,27,28,16.72
home_appliances,754,78832.48,104.55,24,29,18.35
agro_industry_and_commerce,206,70566.1,342.55,45,30,7.99
furniture_living_room,495,67350.7,136.06,30,31,26.27
home_confort,429,58008.45,135.22,31,32,14.53
fixed_telephony,250,54610.33,218.44,42,33,8.12
air_conditioning,281,51974.27,184.96,36,34,12.27
audio,360,50413.61,140.04,33,35,11.22
small_appliances_home_oven_and_coffee,73,46589.56,638.21,56,36,5.7
kitchen_dining_laundry_garden_furniture,274,45531.98,166.18,37,37,25.35
books_general_interest,537,45302.15,84.36,28,38,19.6
construction_tools_lights,301,39957.0,132.75,34,39,18.75
construction_tools_safety,183,38773.22,211.88,49,40,9.62
industry_commerce_and_business,261,38139.21,146.13,40,41,19.68
food,498,28651.25,57.53,29,42,24.6
market_place,294,26880.48,91.43,35,43,18.94
costruction_tools_garden,232,25096.28,108.17,43,44,20.67
art,197,23657.3,120.09,47,45,16.18
fashion_shoes,256,22971.47,89.73,41,46,20.91
drinks,361,21529.84,59.64,32,47,25.27
signaling_and_security,197,21315.05,108.2,47,48,30.39
furniture_bedroom,103,19051.8,184.97,53,49,22.71
books_technical,263,18702.23,71.11,39,50,22.45
costruction_tools_tools,103,15903.95,154.41,53,51,12.77
food_drink,269,14942.88,55.55,38,52,29.41
fashion_male_clothing,124,10427.43,84.09,52,53,19.68
fashion_underwear_beach,127,9305.95,73.28,51,54,19.92
christmas_supplies,150,8737.84,58.25,50,55,36.52
tablets_printing_image,83,7528.41,90.7,55,56,16.29
cine_photo,70,6674.47,95.35,57,57,18.39
music,38,6034.35,158.8,62,58,11.44
dvds_blu_ray,61,4542.59,74.47,58,59,27.02
party_supplies,42,4465.19,106.31,61,60,18.37
books_imported,57,4418.86,77.52,59,61,16.57
furniture_mattress_and_upholstery,37,4323.38,116.85,63,62,36.58
portateis_cozinha_e_preparadores_de_alimentos,14,3933.63,280.97,69,63,7.48
fashio_female_clothing,44,2580.04,58.64,60,64,22.05
fashion_sport,29,2094.52,72.22,67,65,26.88
la_cuisine,14,2054.99,146.79,69,66,16.23
arts_and_craftmanship,24,1814.01,75.58,68,67,20.4
diapers_and_hygiene,36,1365.89,37.94,64,68,38.75
pc_gamer,8,1306.95,163.37,72,69,9.42
flowers,33,1110.04,33.64,65,70,44.04
home_comfort_2,30,760.27,25.34,66,71,53.97
cds_dvds_musicals,14,730.0,52.14,69,72,30.82
fashion_childrens_clothes,7,519.95,74.28,73,73,15.14
security_and_services,2,283.29,141.65,74,74,14.55
